Polski	utf-8
#First line must have format:
#LANGNAME<TAB>ENCODING
###################################################
#Created by Konstantin Ursaloff, Andrey Stepanuk and
#Dick Schiferli
#Follow Up Mailing List Processor PRO 5.01
#Last modified 07/01/2009
###################################################
#Version 5.1
NO_SUBS_OR_UNSUBS_THIS_DATE	Nikt nie zapisał się ani nie wypisał w tej dacie
ACCOUNTS_PROSPECTS	Potencjalni subskrybenci kont.
TO_UNSUBSCRIBE_CLICK_LINK_BELOW	Aby się wypisać kliknij w poniższy link:
HTML_FORM_SUSPEND_ACCOUNTS	Wybierz konta, na których chcesz automatycznie zawieszać subskrybentów<br>gdy zapiszą się na to konto.
HTML_FORM_SUSPEND_ALL	Zawieś na wszystkich pozostałych kontach
HTML_FORM_LOCK_ACCOUNTS	Wybierz konta, na których chcesz automatycznie blokować subskrybentów<br>gdy zapiszą się na to konto.
HTML_FORM_LOCK_ALL	Zablokuj na wszystkich pozostałych kontach
MAIN_MENU	Menu główne
ADMIN_CONTROL_PANEL	Panel administracyjny
LOGO	<img src="content.cgi?get=image&f=fumplogo&mode=png">
LOGO_SM	<img src="content.cgi?get=image&f=fumplogo_sm&mode=gif">
#Version 5.01.03
PHP_INTEGRATION	Integracja PHP
PHP_INTEGRATION_DESCR	Ten kod PHP pomoże Ci emulować wysyłanie (POST) do skryptu rejestracji konta. Możesz użyć tej funkcji w swoich skryptach PHP, aby wysyłać informacje do FUMP.
AJAX_INTEGRATION	Integracja JavaScript Ajax
AJAX_INTEGRATION_DESCR	Ten kod można wstawić do kodu HTML i zostanie on wykonany po stronie klienta. Możesz dodać tę funkcję do zdarzenia onSubmit formularza.
#Version 5.01
BTN_DEL_ALL_MSGS	Usuń wszystkie wiadomości
MAIN_HEADER	Panel administracyjny Follow Up Mailing List Processor v{VERSION}
BROADCAST_MESSAGES_WAS_SENT1	wiadomości zostało wysłanych
BROADCAST_MESSAGES_WAS_SENT2	pozostało
BROADCAST_SENDER_PROCESS_FINISHED	Proces nadawcy zakończony
BROADCAST_SENDER_PROCESS_STARTED	Rozpoczęto proces nadawcy
BROADCAST_DISTRIBUTION_STARTED	Rozpoczęto równoczesną dystrybucję wiadomości
BROADCAST_DISTRIBUTION_FINISHED	Zakończono równoczesną dystrybucję wiadomości
BROADCAST_NO_MESS	Brak wiadomości do wysłania
BROADCAST_DELETE_DOI	Użytkownik
BROADCAST_DELETE_DOI2	został usunięty z konta
BROADCAST_DELETE_DOI3	po upływie limitu czasu DOI
BROADCAST_POP3_FINISHED	Odbieranie POP3 zakończone
BROADCAST_POP3_CANT_FETCH	Nie można pobrać wiadomości z serwera, ID
BROADCAST_POP3_ERROR5	Proszę sprawdzić ustawienia konfiguracyjne w opcjach konta
BROADCAST_POP3_ERROR4	Użytkownik POP3
BROADCAST_POP3_ERROR3	Nie można uwierzytelnić ustawień POP3 (serwer POP3
BROADCAST_POP3_ERROR2	Nie można otworzyć połączenia do
BROADCAST_POP3_ERROR	Błąd w opcjach konta
BROADCAST_POP3_PROCESS_STARTED	Rozpoczęto proces odbioru POP3 dla konta
BROADCAST_ADDING_NEW_SUBSCRIBER	Zapisywanie przez email: Dodawanie nowego subskrybenta
BROADCAST_ADDING_NEW_SUBSCRIBER2	do konta
BROADCAST_ALREADY_SUBSCRIBED	Zapisywanie przez email: Email już istnieje w bazie danych
BROADCAST_IS_SUBSCRIBE_ADDR2	To jest Twój adres mailowy do zapisu - pomijam
BROADCAST_IS_SUBSCRIBE_ADDR	Zapisywanie przez email: Otrzymano email od
BROADCAST_EMAIL_BANNED	Zapisywanie przez email: Email został zablokowany
BROADCAST_INCORRECT_EMAIL	Zapisywanie przez email: Nieprawidłowy email
BROADCAST_CANT_FIND_EMAIL	Zapisywanie przez email: Nie można znaleźć adresu email w
DAILY_REPORT_SUBJ	Raport dzienny
DAILY_REPORT_FROM_NAME	Nadawca FUMP
BROADCAST_SEQ_WAS_RESTARTED2	subskrybentów
BROADCAST_SEQ_WAS_RESTARTED	sekwencja została zrestartowana dla
BROADCAST_FOLLOWUP	Wiadomości follow-up
BROADCAST_SEQUENCE_REPEAT_ERR	Błąd wiadomości follow-up: Nie można przetworzyć powtarzania sekwencji, ponieważ wiadomość o ID
BROADCAST_SEQUENCE_REPEAT_ERR2	nie została znaleziona na koncie
BROADCAST_CHECKING_SEQUENTIAL	Sprawdzanie, czy wiadomości follow-up trzeba wysłać
BROADCAST_NEED_TO_SEND	trzeba wysłać
BROADCAST_NEED_TO_SEND2	wiadomości
BROADCAST_MANUAL_AND_SCHEDULED	Ręczne i zaplanowane wiadomości
BROADCAST_CHECKING_MANUAL	Sprawdzanie, czy ręczne lub zaplanowane wiadomości trzeba wysłać
